"name"
"Bad Water Brewing"
"Barley Brothers Brewery and Grill"
"Barnstar Brewing Company"
"Barrio Brewing Co."
"Beast Brewing Company"
"Beaver Street Brewery"
"Beer Research Institute"
"Black Bridge Brewery"
"Black Hole Beer Company"
"Black Mountain Brewing Co."
"Bold Barley Brewing"
"Borderlands Brewing Company"
"Brewers Restaurant & Sports Bar"
"Cartel Coffee Lab"
"Casa Arriba Brewing Company"
"College Street Brewhouse & Pub"
"Cosmic Beer & Distributing"
"Desert Eagle Brewing Company"
"Dragoon Brewing Company"
"Dubina Brewing Company"
"Fate Brewing Company (AZ)"
"Flagstaff Brewing Company"
"Four Peaks Brewing Company"
"Freak’N Brewing Company"
"Gentle Bens Brewing Company"
"Grand Canyon Brewing Company"
"Granite Mountain Brewing"
"Historic Brewing Company"
"Huss Brewing Company"
"Iron John’s Brewing Company, LLC"
"Lonesome Valley Brewing"
"Lumberyard Brewing Company"
"Mad Hatter Brew Pub"
"Mother Bunch Brewing"
"Mother Road Brewing Company"
"Mudshark Brewing Company"
"Nimbus Brewing Company"
"North Mountain Brewing Company"
"O.H.S.O. Eatery & NanoBrewery"
"Oak Creek Brewing Co."
"Old Bisbee Brewing Company"
"Old World Brewery"
"Owl’s Orchard Brewery"
"Papago Brewing"
"Peoria Artisan Brewery"
"Perch Pub & Brewery"
"Phoenix Ale Brewery"
"Pinetop Brewing Company"
"Pinnacle Peak Patio Steakhouse"
"Prescott Brewing Company"
"Prison Hill Brewing Company"
"Pueblo Vida Brewing Company"
"Rock Bottom Arrowhead"
"Rock Bottom Scottsdale"
"SanTan Brewing Company"
"Scottsdale Beer Company"
"Sentinel Peak Brewing Company"
"Sleepy Dog Saloon & Brewery"
"Sonoran Brewing Company"
"Sun Up Brewing Company (Sonora Brewhouse)"
"Ten Fifty-Five Brewing"
"THAT Brewery & Pub at Rimside"
"The Address Brewing Co"
"Thunder Canyon Brewery"
"Uncle Bear’s Brewery"
"Verde Brewing Company"
"Wanderlust Brewing Company"
"beer"
"abv","nratings","url.text","url.href"
"","0","Gentle Bens Ben’s IPA","http://www.ratebeer.com/beer/gentle-bens-bens-ipa/139408/"
"7","2","Barrio Scotch","http://www.ratebeer.com/beer/barrio-scotch/166631/"
"","0","Gentle Bens ESB","http://www.ratebeer.com/beer/gentle-bens-esb/148159/"
"5.8","10","Barrio Scottish Red","http://www.ratebeer.com/beer/barrio-scottish-red/119082/"
"6.3","3","Barrio Smoked Porter","http://www.ratebeer.com/beer/barrio-smoked-porter/104465/"
"4.6","1","Barrio Summer Citrus","http://www.ratebeer.com/beer/barrio-summer-citrus/148557/"
"5.1","0","Barrio Tucson Blonde","http://www.ratebeer.com/beer/barrio-tucson-blonde/127199/"
"5.3","14","Gentle Bens Beer Down Nut Brown","http://www.ratebeer.com/beer/gentle-bens-beer-down-nut-brown/2457/"
"6.1","32","Gentle Bens Copperhead Pale Ale","http://www.ratebeer.com/beer/gentle-bens-copperhead-pale-ale/2458/"
"5.8","19","Gentle Bens Hefeweizen","http://www.ratebeer.com/beer/gentle-bens-hefeweizen/17051/"
"6.8","24","Gentle Bens MacBlanes Oatmeal Stout","http://www.ratebeer.com/beer/gentle-bens-macblanes-oatmeal-stout/2464/"
"7","30","Gentle Bens Mocha Java Stout","http://www.ratebeer.com/beer/gentle-bens-mocha-java-stout/21139/"
"9.2","26","Gentle Bens NCAA Ale (NCAAle)","http://www.ratebeer.com/beer/gentle-bens-ncaa-ale-ncaale/23831/"
"9.2","2","Gentle Bens NCAA Ale (NCAAle) - Barrel Aged","http://www.ratebeer.com/beer/gentle-bens-ncaa-ale-ncaale--barrel-aged/252161/"
"5.6","36","Gentle Bens Nolan Porter","http://www.ratebeer.com/beer/gentle-bens-nolan-porter/2461/"
"5.6","29","Gentle Bens Red Cat Amber","http://www.ratebeer.com/beer/gentle-bens-red-cat-amber/2456/"
"4.53","25","Gentle Bens Taylor Janes Raspberry Ale","http://www.ratebeer.com/beer/gentle-bens-taylor-janes-raspberry-ale/2459/"
"4.53","34","Gentle Bens Tucson Blonde","http://www.ratebeer.com/beer/gentle-bens-tucson-blonde/2463/"
"7.5","1","Beast Brewing Beast Ale","http://www.ratebeer.com/beer/beast-brewing-beast-ale/252156/"
"5.2","1","Beast Brewing Sexy Beast","http://www.ratebeer.com/beer/beast-brewing-sexy-beast/252155/"
"5.3","3","Beaver Street Belgian Blonde","http://www.ratebeer.com/beer/beaver-street-belgian-blonde/161145/"
"5.5","1","Beaver Street Belgian Pale Ale","http://www.ratebeer.com/beer/beaver-street-belgian-pale-ale/106294/"
"","2","Beaver Street Bock","http://www.ratebeer.com/beer/beaver-street-bock/100459/"
"","1","Beaver Street Boxcar Blonde","http://www.ratebeer.com/beer/beaver-street-boxcar-blonde/98732/"
"","28","Beaver Street Bramble Berry Brew","http://www.ratebeer.com/beer/beaver-street-bramble-berry-brew/13377/"
"6.7","1","Beaver Street Bristlecone Brown Ale","http://www.ratebeer.com/beer/beaver-street-bristlecone-brown-ale/122065/"
"","1","Beaver Street Copper Creek Lager","http://www.ratebeer.com/beer/beaver-street-copper-creek-lager/70905/"
"5.8","2","Beaver Street Cascadian Dark Ale","http://www.ratebeer.com/beer/beaver-street-cascadian-dark-ale/148388/"
"","3","Beaver Street English Pale Ale","http://www.ratebeer.com/beer/beaver-street-english-pale-ale/16901/"
"7.9","3","Beaver Street DeRail IPA","http://www.ratebeer.com/beer/beaver-street-derail-ipa/47177/"
"4.6","1","Beaver Street Dingle Irish Stout","http://www.ratebeer.com/beer/beaver-street-dingle-irish-stout/210622/"
"","18","Beaver Street Hefe Weizen","http://www.ratebeer.com/beer/beaver-street-hefe-weizen/23574/"
"4.4","6","Beaver Street Golden Ale","http://www.ratebeer.com/beer/beaver-street-golden-ale/33314/"
"","34","Beaver Street India Pale Ale","http://www.ratebeer.com/beer/beaver-street-india-pale-ale/13379/"
"","5","Beaver Street Lager del Sol","http://www.ratebeer.com/beer/beaver-street-lager-del-sol/33315/"
"6.7","3","Beaver Street Helles Bock","http://www.ratebeer.com/beer/beaver-street-helles-bock/156472/"
"","2","Beaver Street Nut Brown Ale","http://www.ratebeer.com/beer/beaver-street-nut-brown-ale/14095/"
"6.7","2","Beaver Street Hop Harvest Amber","http://www.ratebeer.com/beer/beaver-street-hop-harvest-amber/156285/"
"","3","Beaver Street Oktoberfest Marzen","http://www.ratebeer.com/beer/beaver-street-oktoberfest-marzen/29366/"
"","8","Beaver Street Pilsener","http://www.ratebeer.com/beer/beaver-street-pilsener/23575/"
"6.4","2","Beaver Street Lumberjack Lager","http://www.ratebeer.com/beer/beaver-street-lumberjack-lager/127521/"
"","46","Beaver Street R & R Oatmeal Stout","http://www.ratebeer.com/beer/beaver-street-r-r-oatmeal-stout/14096/"
"","36","Beaver Street Railhead Red","http://www.ratebeer.com/beer/beaver-street-railhead-red/13378/"
"","1","Beaver Street Red Rock Amber","http://www.ratebeer.com/beer/beaver-street-red-rock-amber/70906/"
"5.7","3","Beaver Street Pine Cone Pale Ale","http://www.ratebeer.com/beer/beaver-street-pine-cone-pale-ale/128726/"
"","2","Beaver Street Vienna Lager","http://www.ratebeer.com/beer/beaver-street-vienna-lager/29370/"
"10","1","Beaver Street Rapid Red","http://www.ratebeer.com/beer/beaver-street-rapid-red/118133/"
"4","1","Beaver Street Red Rock Raspberry","http://www.ratebeer.com/beer/beaver-street-red-rock-raspberry/301398/"
"9.6","4","Beaver Street Tripel","http://www.ratebeer.com/beer/beaver-street-tripel/38352/"
"5.2","2","Beaver Street Winter (Bock) Lager","http://www.ratebeer.com/beer/beaver-street-winter-bock-lager/161144/"
"8","2","Beaver Street Yuletide Lager","http://www.ratebeer.com/beer/beaver-street-yuletide-lager/68409/"
"10.8","6","Beaver Street Belgian Trippel","http://www.ratebeer.com/beer/beaver-street-belgian-trippel/124678/"
"7.4","1","Beer Research Institute 480G IPA","http://www.ratebeer.com/beer/beer-research-institute-480g-ipa/285516/"
"7.4","0","Beer Research Institute Farmhouse Saison","http://www.ratebeer.com/beer/beer-research-institute-farmhouse-saison/285515/"
"8.2","0","Beer Research Institute Lolli Blonde","http://www.ratebeer.com/beer/beer-research-institute-lolli-blonde/285514/"
"6.5","0","Beer Research Institute Street Cred Black IPA","http://www.ratebeer.com/beer/beer-research-institute-street-cred-black-ipa/285520/"
"5.5","1","Beer Research Institute Vanilla Porter","http://www.ratebeer.com/beer/beer-research-institute-vanilla-porter/285517/"
"7.4","1","Beer Research Institute War Paint Red IPA","http://www.ratebeer.com/beer/beer-research-institute-war-paint-red-ipa/285525/"
"4.7","0","Black Bridge 80/- Scottish Export Ale","http://www.ratebeer.com/beer/black-bridge-80--scottish-export-ale/248904/"
"5.6","0","Black Bridge B3 Wheat","http://www.ratebeer.com/beer/black-bridge-b3-wheat/248898/"
"11.4","0","Black Bridge Blackberry Poison","http://www.ratebeer.com/beer/black-bridge-blackberry-poison/248900/"
"7.5","0","Black Bridge Blastpipe Stout","http://www.ratebeer.com/beer/black-bridge-blastpipe-stout/248902/"
"7.9","0","Black Bridge Bock to the Future","http://www.ratebeer.com/beer/black-bridge-bock-to-the-future/266338/"
"6","0","Black Bridge Cascadian IPA","http://www.ratebeer.com/beer/black-bridge-cascadian-ipa/248891/"
"5.4","0","Black Bridge Chichester Bitter","http://www.ratebeer.com/beer/black-bridge-chichester-bitter/248888/"
"4.5","0","Black Bridge Code Four Amber Ale","http://www.ratebeer.com/beer/black-bridge-code-four-amber-ale/248894/"
"5.6","0","Black Bridge English Mild","http://www.ratebeer.com/beer/black-bridge-english-mild/266334/"
"7.2","1","Black Bridge Evil Red","http://www.ratebeer.com/beer/black-bridge-evil-red/248881/"
"6.8","0","Black Bridge Fastime IPA","http://www.ratebeer.com/beer/black-bridge-fastime-ipa/266331/"
"9.3","0","Black Bridge Fat Bastard Scotch Ale","http://www.ratebeer.com/beer/black-bridge-fat-bastard-scotch-ale/248886/"
"8","0","Black Bridge Festivus Winter Warmer","http://www.ratebeer.com/beer/black-bridge-festivus-winter-warmer/248893/"
"5.8","0","Black Bridge Heat Seeker Red","http://www.ratebeer.com/beer/black-bridge-heat-seeker-red/248890/"
"6.3","0","Black Bridge Holy Water","http://www.ratebeer.com/beer/black-bridge-holy-water/266330/"
"4.8","0","Black Bridge Hooley Irish Stout","http://www.ratebeer.com/beer/black-bridge-hooley-irish-stout/248896/"
"11.7","0","Black Bridge Katastrophic Humiliation","http://www.ratebeer.com/beer/black-bridge-katastrophic-humiliation/248885/"
"4.8","0","Black Bridge Locomotive Stout","http://www.ratebeer.com/beer/black-bridge-locomotive-stout/248883/"
"9.8","0","Black Bridge Rhubarb IPA","http://www.ratebeer.com/beer/black-bridge-rhubarb-ipa/248892/"
"6.8","0","Black Bridge Rive Ale IPA","http://www.ratebeer.com/beer/black-bridge-rive-ale-ipa/248882/"
"5.2","0","Black Bridge Secret Pass","http://www.ratebeer.com/beer/black-bridge-secret-pass/266333/"
"7.7","0","Black Bridge Slaughterhouse IPA","http://www.ratebeer.com/beer/black-bridge-slaughterhouse-ipa/248903/"
"11.8","0","Black Bridge Stresstout Imperial Stout","http://www.ratebeer.com/beer/black-bridge-stresstout-imperial-stout/248889/"
"5.5","0","Black Bridge Trailblazer Brown Ale","http://www.ratebeer.com/beer/black-bridge-trailblazer-brown-ale/248897/"
"7.4","0","Black Bridge Trainsmoke Smoked Porter","http://www.ratebeer.com/beer/black-bridge-trainsmoke-smoked-porter/248901/"
"6.3","0","Black Bridge Wagonwheel Brown Ale","http://www.ratebeer.com/beer/black-bridge-wagonwheel-brown-ale/248884/"
"4.2","0","Black Bridge Water Under The Bridge","http://www.ratebeer.com/beer/black-bridge-water-under-the-bridge/248895/"
"12","0","Black Bridge Wicked Poison Wheat Wine","http://www.ratebeer.com/beer/black-bridge-wicked-poison-wheat-wine/248887/"
"6","0","Black Bridge Windmill Porter","http://www.ratebeer.com/beer/black-bridge-windmill-porter/266332/"
"","0","Black Hole Hefeweizen","http://www.ratebeer.com/beer/black-hole-hefeweizen/262588/"
"","0","Black Hole Hopsicle","http://www.ratebeer.com/beer/black-hole-hopsicle/262591/"
"","0","Black Hole Krakatoa Imperial Stout","http://www.ratebeer.com/beer/black-hole-krakatoa-imperial-stout/262593/"
"","0","Black Hole Planet of the Grapes Saison","http://www.ratebeer.com/beer/black-hole-planet-of-the-grapes-saison/262592/"
"","0","Black Hole Porter 9 From Outerspace","http://www.ratebeer.com/beer/black-hole-porter-9-from-outerspace/262589/"
"","0","Black Hole Sorachi Ace Fighter","http://www.ratebeer.com/beer/black-hole-sorachi-ace-fighter/262590/"
"5","4","Black Mountain Bighorn Bock","http://www.ratebeer.com/beer/black-mountain-bighorn-bock/14160/"
"5","6","Black Mountain Frog Light","http://www.ratebeer.com/beer/black-mountain-frog-light/8090/"
"5","6","Black Mountain Gold","http://www.ratebeer.com/beer/black-mountain-gold/8089/"
"5","5","Black Mountain Juanderful Wheat","http://www.ratebeer.com/beer/black-mountain-juanderful-wheat/8087/"
"5","1","Black Mountain Lemon Lager","http://www.ratebeer.com/beer/black-mountain-lemon-lager/8091/"
"5","9","Black Mountain Ocotillo Amber","http://www.ratebeer.com/beer/black-mountain-ocotillo-amber/8088/"
"4.3","1","Black Mountain Sierra Dorada Lager Beer","http://www.ratebeer.com/beer/black-mountain-sierra-dorada-lager-beer/56578/"
"5","6","Black Mountain South Of the Border Porter","http://www.ratebeer.com/beer/black-mountain-south-of-the-border-porter/8086/"
"3.9","3","Cave Creek Chili Light","http://www.ratebeer.com/beer/cave-creek-chili-light/46142/"
"4.7","829","Cave Creek Chili Beer","http://www.ratebeer.com/beer/cave-creek-chili-beer/4580/"
"5","0","Bold Barley 88 Segnaros Pale Ale","http://www.ratebeer.com/beer/bold-barley-88-segnaros-pale-ale/288765/"
